"name","source","truth","estimated","error","relative_error"
"Optimal growth pH","Methanolobus psychrophilus",7.1,7.15789702380953,0.0578970238095255,0.00815451039570782
"Optimal growth pH","Methanocorpusculum labreanum",7,7.05759952380952,0.057599523809519,0.00822850340135986
"Optimal growth pH","Methanobacterium bryantii",7.05,7.10080714285714,0.0508071428571419,0.00720668693009105
"Optimal growth pH","Methanofollis ethanolicus",7,6.96882869047619,0.0311713095238089,0.00445304421768698
"Optimal growth pH","Methanolobus vulcani",7.2,7.1756625,0.0243374999999997,0.00338020833333329
"Optimal growth pH","Methanolacinia paynteri",7,7.00264595238096,0.00264595238096366,0.000377993197280522
"Optimal growth pH","Methanococcoides methylutens",7.25,7.24747404761905,0.0025259523809531,0.000348407224959048
"Growth rate","Methanopyrus kandleri",3.03,1.46917555555556,1.56082444444444,0.515123579024569
"Growth rate","Methanothermococcus okinawensis",1.386,0.362712222222222,1.02328777777778,0.738302869969537
"Growth rate","Methanocaldococcus vulcanius",1.05,1.69795955555555,0.647959555555555,0.617104338624338
"Growth rate","Methanocaldococcus fervens",2.1,1.49712977777778,0.602870222222224,0.287081058201059
"Growth rate","Methanococcus aeolicus",0.5,0.0782075555555556,0.421792444444444,0.843584888888889
"Growth rate","Methanocaldococcus infernus",1.35,1.67733511111111,0.327335111111113,0.242470452674898
"Growth rate","Methermicoccus shengliensis",0.139,0.462702888888888,0.323702888888888,2.32879776179056
"Growth rate","Methanothermobacter crinale",0.046,0.303336,0.257336,5.59426086956522
"Growth rate","Methanoculleus thermophilus",0.277,0.0662131111111113,0.210786888888889,0.760963497793822
"Growth rate","Methanotorris igneus",1.662,1.46281266666666,0.199187333333336,0.11984797432812
"Growth rate","Methanothermococcus thermolithotrophicus",0.756,0.58233088888889,0.17366911111111,0.229721046443267
"Growth rate","Methanococcus maripaludis",0.35,0.522632222222221,0.172632222222221,0.493234920634916
"Growth rate","Methanospirillum lacunae",0.021,0.153609511111111,0.132609511111111,6.31473862433862
"Growth rate","Methanomethylovorans thermophila",0.05,0.178716888888889,0.128716888888889,2.57433777777778
"Growth rate","Methanobacterium subterraneum",0.178,0.0499351111111112,0.128064888888889,0.719465667915106
"Growth rate","Methanobacterium lacus",0.032,0.138048666666667,0.106048666666667,3.31402083333334
